Jogador,Time,Posição,Preço (C$),Média (pts),Variação última (C$),Jogos
Biel,Atlético-MG,Atacante,6.46,2.68,-0.02,6
Cadu,Atlético-MG,Atacante,3.0,0.0,0.0,0
Caio Maia,Atlético-MG,Atacante,2.0,0.0,0.0,0
Cuello,Atlético-MG,Atacante,8.98,4.37,1.86,14
Dudu,Atlético-MG,Atacante,7.96,2.25,-0.43,8
Hulk,Atlético-MG,Atacante,14.43,5.94,0.05,17
Isaac,Atlético-MG,Atacante,1.1,0.5,0.0,1
João Marcelo,Atlético-MG,Atacante,3.46,1.51,0.0,7
Júnior Santos,Atlético-MG,Atacante,6.51,2.3,0.0,14
Pedro Ataíde,Atlético-MG,Atacante,1.0,0.0,0.0,0
Rony,Atlético-MG,Atacante,9.61,4.25,-0.22,19
Everson,Atlético-MG,Goleiro,9.0,4.23,0.3,19
Gabriel Delfim,Atlético-MG,Goleiro,2.55,1.9,0.0,1
Gabriel Átila,Atlético-MG,Goleiro,1.0,0.0,0.0,0
Robert,Atlético-MG,Goleiro,1.0,0.0,0.0,0
Caio Paulista,Atlético-MG,Lateral,6.37,3.35,0.0,8
Guilherme Arana,Atlético-MG,Lateral,8.89,3.72,-0.5,9
Natanael,Atlético-MG,Lateral,8.06,5.14,0.21,20
Saravia,Atlético-MG,Lateral,6.02,3.48,0.0,8
Alan Franco,Atlético-MG,Meia,4.49,1.77,-0.04,16
Alexsander,Atlético-MG,Meia,7.55,4.24,-0.33,5
Alisson,Atlético-MG,Meia,4.0,0.0,0.0,0
Bernard,Atlético-MG,Meia,3.46,0.81,0.0,14
David Kauã,Atlético-MG,Meia,1.0,0.0,0.0,0
Fausto Vera,Atlético-MG,Meia,7.08,3.05,0.0,9
Gabriel Menino,Atlético-MG,Meia,5.69,3.02,-0.44,15
Gustavo Scarpa,Atlético-MG,Meia,10.27,3.82,0.53,20
Igor Gomes,Atlético-MG,Meia,5.39,2.84,0.23,18
Mateus Iseppe,Atlético-MG,Meia,2.53,2.0,0.0,1
Patrick,Atlético-MG,Meia,3.24,2.6,0.0,3
Reinier,Atlético-MG,Meia,4.02,0.97,-0.71,3
Zé Phelipe,Atlético-MG,Meia,1.0,0.0,0.0,0
Índio,Atlético-MG,Meia,1.0,0.0,0.0,0
Jorge Sampaoli,Atlético-MG,Técnico,10.37,0.0,0.0,0
Iván Román,Atlético-MG,Zagueiro,3.68,2.95,0.0,4
Junior Alonso,Atlético-MG,Zagueiro,6.83,4.03,0.43,19
Lyanco,Atlético-MG,Zagueiro,8.86,5.46,0.0,12
Ruan,Atlético-MG,Zagueiro,6.04,2.75,0.0,4
Vitor Hugo,Atlético-MG,Zagueiro,6.58,4.2,-0.66,7
Vitão,Atlético-MG,Zagueiro,1.0,0.0,0.0,0
Ademir,Bahia,Atacante,5.21,3.73,0.0,16
Dell,Bahia,Atacante,1.0,0.0,0.0,0
Erick Pulga,Bahia,Atacante,8.61,6.08,-0.28,16
Kauê Furquim,Bahia,Atacante,1.0,0.0,0.0,0
Kayky,Bahia,Atacante,3.11,1.8,0.14,15
Lucho Rodríguez,Bahia,Atacante,6.06,2.3,-0.7,18
Ruan Pablo,Bahia,Atacante,1.35,1.2,0.0,1
Sanabria,Bahia,Atacante,5.39,0.0,-0.61,1
Tiago,Bahia,Atacante,2.62,2.05,-0.53,8
Willian José,Bahia,Atacante,6.7,3.51,0.0,16
Danilo Fernandes,Bahia,Goleiro,4.0,0.0,0.0,0
Dênis Júnior,Bahia,Goleiro,3.0,0.0,0.0,0
João Paulo,Bahia,Goleiro,6.45,-1.0,0.0,0
Ronaldo,Bahia,Goleiro,5.92,4.45,-0.91,10
Gilberto,Bahia,Lateral,7.33,4.13,0.0,15
Iago,Bahia,Lateral,5.4,3.18,0.0,6
Luciano Juba,Bahia,Lateral,9.13,6.36,-2.24,20
Ryan,Bahia,Lateral,2.0,0.0,0.0,0
Santiago Arias,Bahia,Lateral,6.45,3.56,-0.42,9
Zé Guilherme,Bahia,Lateral,3.0,0.0,0.0,0
Acevedo,Bahia,Meia,4.78,2.52,-0.06,15
Caio Alexandre,Bahia,Meia,5.13,2.4,0.0,16
Cauly,Bahia,Meia,5.6,2.2,-0.09,17
David Martins,Bahia,Meia,1.0,0.0,0.0,0
Erick,Bahia,Meia,8.32,3.53,0.0,8
Everton Ribeiro,Bahia,Meia,7.95,4.43,-1.13,18
Jean Lucas,Bahia,Meia,6.46,3.96,0.2,18
Michel Araújo,Bahia,Meia,7.22,3.48,0.0,11
Rezende,Bahia,Meia,3.76,1.9,0.46,3
Rodrigo Nestor,Bahia,Meia,8.25,4.42,2.3,9
Roger,Bahia,Meia,1.0,0.0,0.0,0
Vitinho,Bahia,Meia,1.0,0.0,0.0,0
Rogério Ceni,Bahia,Técnico,9.05,5.65,-0.51,20
David Duarte,Bahia,Zagueiro,4.98,3.08,-0.58,17
Fredi Lippert,Bahia,Zagueiro,1.5,1.7,0.0,1
Gabriel Xavier,Bahia,Zagueiro,6.66,2.82,0.0,4
Kanu,Bahia,Zagueiro,4.58,2.85,0.0,2
Luiz Gustavo,Bahia,Zagueiro,1.8,1.56,0.0,5
Santiago Mingo,Bahia,Zagueiro,4.62,2.69,-0.31,19
Arthur Cabral,Botafogo,Atacante,13.26,7.11,-0.28,8
Artur,Botafogo,Atacante,9.43,4.72,0.57,15
Chris Ramos,Botafogo,Atacante,10.69,16.5,0.0,1
Jeffinho,Botafogo,Atacante,4.98,2.72,1.95,6
Joaquín Correa,Botafogo,Atacante,7.71,1.76,-0.25,9
Mastriani,Botafogo,Atacante,4.2,0.84,0.0,7
Matheus Martins,Botafogo,Atacante,5.88,3.62,0.0,8
Nathan Fernandes,Botafogo,Atacante,5.19,3.14,0.0,9
Cristhian Loor,Botafogo,Goleiro,2.0,0.0,0.0,0
Léo Linck,Botafogo,Goleiro,6.98,6.3,0.0,1
Neto,Botafogo,Goleiro,8.51,3.55,-0.66,2
Raul,Botafogo,Goleiro,2.0,0.0,0.0,0
Alex Telles,Botafogo,Lateral,10.51,5.59,0.0,17
Kaique Pereira,Botafogo,Lateral,1.0,0.0,0.0,0
Marçal,Botafogo,Lateral,8.6,6.42,-0.46,6
Mateo Ponte,Botafogo,Lateral,6.27,3.4,-0.57,12
